"parameter","section","year","anomaly"
"copepod","SI",1999,-0.700657947752292
"copepod","SI",2000,-1.89285554298378
"copepod","SI",2001,-0.955155624687146
"copepod","SI",2002,0.0969930719693333
"copepod","SI",2003,0.69466902052104
"copepod","SI",2004,1.75798785675519
"copepod","SI",2005,1.50033416800008
"copepod","SI",2006,1.50220449064752
"copepod","SI",2007,0.446764813339579
"copepod","SI",2008,-0.428683455845714
"copepod","SI",2009,-0.654916781784318
"copepod","SI",2010,0.183179435663853
"copepod","SI",2011,0.133510138823978
"copepod","SI",2012,-0.94521882001436
"copepod","SI",2013,0.208115820180672
"copepod","SI",2014,-1.05434538482165
"copepod","SI",2015,0.108074741988026
"copepod","SI",2016,0.724182312162816
"copepod","SI",2017,-0.836579008995277
"copepod","SI",2018,0.319075620630249
"copepod","SI",2019,0.159126318752453
"copepod","BB",1999,-2.23941682680983
"copepod","BB",2000,-1.59166678915245
"copepod","BB",2001,-0.311511042586991
"copepod","BB",2002,-0.651541253479682
"copepod","BB",2003,0.624672039270031
"copepod","BB",2004,0.438486105759154
"copepod","BB",2005,-0.379208332769811
"copepod","BB",2006,0.994060150246461
"copepod","BB",2007,0.530579495847762
"copepod","BB",2008,0.539468855209384
"copepod","BB",2009,0.686528680718455
"copepod","BB",2010,1.18398780151338
"copepod","BB",2011,-0.115846064077234
"copepod","BB",2012,-0.933316965579161
"copepod","BB",2013,1.36679490932658
"copepod","BB",2014,-0.780687752714434
"copepod","BB",2015,0.638616989278389
"copepod","BB",2016,0.0453731302159369
"copepod","BB",2017,1.07648342139534
"copepod","BB",2018,0.283402736340398
"copepod","BB",2019,-0.605124358237714
"copepod","FC",1999,-1.75806633365577
"copepod","FC",2000,-1.88688240999622
"copepod","FC",2001,-0.128089132755985
"copepod","FC",2002,-0.578679375386604
"copepod","FC",2003,-1.03816815572274
"copepod","FC",2004,-0.597330897349676
"copepod","FC",2005,0.367185142009192
"copepod","FC",2006,0.928191823572185
"copepod","FC",2007,0.190260623148835
"copepod","FC",2008,0.259988373851693
"copepod","FC",2009,0.307237300193426
"copepod","FC",2010,2.29513484096034
"copepod","FC",2011,0.116150212003381
"copepod","FC",2012,0.720894283305601
"copepod","FC",2013,0.556031402136696
"copepod","FC",2014,-0.214688710349863
"copepod","FC",2015,0.46083101403552
"copepod","FC",2016,1.79526873952851
"copepod","FC",2017,1.28900089900386
"copepod","FC",2018,0.713131887909016
"copepod","FC",2019,-0.852305453092148
"copepod","SEGB",1999,-2.82085907373879
"copepod","SEGB",2000,0.206636173547916
"copepod","SEGB",2001,-1.20089653862174
"copepod","SEGB",2002,-0.272163306942193
"copepod","SEGB",2003,-0.435460057292773
"copepod","SEGB",2004,-0.110905168962786
"copepod","SEGB",2005,0.757962978277612
"copepod","SEGB",2006,-0.4550274339562
"copepod","SEGB",2007,0.734396451086406
"copepod","SEGB",2008,0.0333945897710493
"copepod","SEGB",2009,0.828246534130998
"copepod","SEGB",2010,0.931514985119803
"copepod","SEGB",2011,1.4764687264669
"copepod","SEGB",2012,0.929616479089609
"copepod","SEGB",2013,-0.595738913101432
"copepod","SEGB",2014,0.0560043861468898
"copepod","SEGB",2015,-0.0631908110212833
"copepod","SEGB",2016,2.64340401191382
"copepod","SEGB",2017,2.82142604714496
"copepod","SEGB",2018,3.14932930723523
"copepod","S27",1999,-0.699152766286837
"copepod","S27",2000,0.0251478283947822
"copepod","S27",2001,-0.560607097730624
"copepod","S27",2002,0.0501855066747481
"copepod","S27",2003,0.0404504905855304
"copepod","S27",2004,-1.85578798852038
"copepod","S27",2005,-0.656770520876542
"copepod","S27",2006,-1.13544573896909
"copepod","S27",2007,0.0519786037562032
"copepod","S27",2008,-1.18846033670905
"copepod","S27",2009,1.41521579680673
"copepod","S27",2010,0.617557453379747
"copepod","S27",2011,0.342396815143212
"copepod","S27",2012,-0.0312666584647007
"copepod","S27",2013,0.0914135197365042
"copepod","S27",2014,1.728815757381
"copepod","S27",2015,1.76432933569876
"copepod","S27",2016,1.97255036657052
"copepod","S27",2017,1.44075378959809
"copepod","S27",2018,0.789454381490694
"copepod","S27",2019,1.35372268058562
"noncopepod","SI",1999,-1.78063164133922
"noncopepod","SI",2000,-0.8233950875975
"noncopepod","SI",2001,-0.247217952135224
"noncopepod","SI",2002,-0.846477378305329
"noncopepod","SI",2003,-0.175980554007239
"noncopepod","SI",2004,1.27171448854147
"noncopepod","SI",2005,1.03023808570155
"noncopepod","SI",2006,2.19680743011917
"noncopepod","SI",2007,0.0426693382078505
"noncopepod","SI",2008,-1.13844807581135
"noncopepod","SI",2009,-0.132755654746113
"noncopepod","SI",2010,0.182225293242639
"noncopepod","SI",2011,0.109403941314329
"noncopepod","SI",2012,-1.08011954260215
"noncopepod","SI",2013,0.67970338684994
"noncopepod","SI",2014,-0.189373135001725
"noncopepod","SI",2015,0.901637057568939
"noncopepod","SI",2016,1.89126868763183
"noncopepod","SI",2017,1.36636161661601
"noncopepod","SI",2018,2.23484443376623
"noncopepod","SI",2019,1.7721833147761
"noncopepod","BB",1999,-1.78132977589483
"noncopepod","BB",2000,-2.05559104613648
"noncopepod","BB",2001,-0.055369100232883
"noncopepod","BB",2002,-0.159466911619527
"noncopepod","BB",2003,0.121085128634186
"noncopepod","BB",2004,-0.420482276788447
"noncopepod","BB",2005,-0.224204302558417
"noncopepod","BB",2006,1.51056731581372
"noncopepod","BB",2007,-0.156325180711042
"noncopepod","BB",2008,-0.420816392298041
"noncopepod","BB",2009,0.90888838409838
"noncopepod","BB",2010,0.95325349747366
"noncopepod","BB",2011,-0.285354254900395
"noncopepod","BB",2012,-0.555048574696569
"noncopepod","BB",2013,1.57765407646986
"noncopepod","BB",2014,-0.0665777290745664
"noncopepod","BB",2015,1.10911714242142
"noncopepod","BB",2016,0.989936736004021
"noncopepod","BB",2017,2.40406082462586
"noncopepod","BB",2018,2.37159437392073
"noncopepod","BB",2019,-3.28914244044574
"noncopepod","FC",1999,-1.99696016567221
"noncopepod","FC",2000,-0.361497866116137
"noncopepod","FC",2001,-0.172584308518741
"noncopepod","FC",2002,0.187796210433529
"noncopepod","FC",2003,-0.98059925518912
"noncopepod","FC",2004,-1.12954413474127
"noncopepod","FC",2005,-0.380019963231577
"noncopepod","FC",2006,-0.191336031274721
"noncopepod","FC",2007,-0.761713970483451
"noncopepod","FC",2008,-0.315266987763232
"noncopepod","FC",2009,-0.315211262639224
"noncopepod","FC",2010,1.34123996111706
"noncopepod","FC",2011,-0.0312520229067264
"noncopepod","FC",2012,0.877445375287739
"noncopepod","FC",2013,1.60135893867362
"noncopepod","FC",2014,1.18907065632552
"noncopepod","FC",2015,1.43907482669898
"noncopepod","FC",2016,3.04219587902296
"noncopepod","FC",2017,1.63481783918769
"noncopepod","FC",2018,2.68932062770907
"noncopepod","FC",2019,-0.47682858993525
"noncopepod","SEGB",1999,-2.07911389305326
"noncopepod","SEGB",2000,1.80903235198571
"noncopepod","SEGB",2001,0.131306525513394
"noncopepod","SEGB",2002,-0.285793249933451
"noncopepod","SEGB",2003,-0.567446428123018
"noncopepod","SEGB",2004,-1.056972616899
"noncopepod","SEGB",2005,0.37344465436548
"noncopepod","SEGB",2006,-0.450975743132983
"noncopepod","SEGB",2007,-1.1465775328814
"noncopepod","SEGB",2008,-0.539887614934447
"noncopepod","SEGB",2009,-0.45002537402603
"noncopepod","SEGB",2010,1.19371919809969
"noncopepod","SEGB",2011,1.11986566380961
"noncopepod","SEGB",2012,1.12497053880511
"noncopepod","SEGB",2013,0.250128682154321
"noncopepod","SEGB",2014,0.808213217436364
"noncopepod","SEGB",2015,-0.233888379186115
"noncopepod","SEGB",2016,2.15885602260909
"noncopepod","SEGB",2017,1.67066360021734
"noncopepod","SEGB",2018,2.6801225676074
"noncopepod","S27",1999,-0.729273554368822
"noncopepod","S27",2000,0.233096106663925
"noncopepod","S27",2001,0.211413601247596
"noncopepod","S27",2002,-0.122340883567036
"noncopepod","S27",2003,-0.144948743998927
"noncopepod","S27",2004,-0.497052184766655
"noncopepod","S27",2005,-0.220928180053159
"noncopepod","S27",2006,-1.20467806856291
"noncopepod","S27",2007,-0.424268845624912
"noncopepod","S27",2008,-1.48278220142939
"noncopepod","S27",2009,-1.22946500965452
"noncopepod","S27",2010,0.0276026697917967
"noncopepod","S27",2011,-0.192509461437356
"noncopepod","S27",2012,1.17212637380431
"noncopepod","S27",2013,1.02819568941559
"noncopepod","S27",2014,2.43354394767196
"noncopepod","S27",2015,1.14226874486848
"noncopepod","S27",2016,1.52893929788985
"noncopepod","S27",2017,1.05697517989723
"noncopepod","S27",2018,1.9601951771465
"noncopepod","S27",2019,1.55803298308483
"CALFIN","SI",1999,0.204459327833532
"CALFIN","SI",2000,-2.36623444449839
"CALFIN","SI",2001,-0.78151013280897
"CALFIN","SI",2002,0.112670994191302
"CALFIN","SI",2003,0.217542720526384
"CALFIN","SI",2004,1.80514231728244
"CALFIN","SI",2005,1.47215143035375
"CALFIN","SI",2006,0.561535289409385
"CALFIN","SI",2007,0.598621274589266
"CALFIN","SI",2008,-0.0283926648974647
"CALFIN","SI",2009,-1.18974796296439
"CALFIN","SI",2010,0.307324457912779
"CALFIN","SI",2011,0.670786584651963
"CALFIN","SI",2012,-0.218107019714266
"CALFIN","SI",2013,0.336014773111453
"CALFIN","SI",2014,-0.948313999555964
"CALFIN","SI",2015,-0.753942945422789
"CALFIN","SI",2016,0.458487870259369
"CALFIN","SI",2017,-1.72811310016635
"CALFIN","SI",2018,0.569560970905985
"CALFIN","SI",2019,-0.0505011719998877
"CALFIN","BB",1999,-2.06712988746929
"CALFIN","BB",2000,-2.01381686501785
"CALFIN","BB",2001,-0.27730019942956
"CALFIN","BB",2002,0.117366915348665
"CALFIN","BB",2003,0.244989352758701
"CALFIN","BB",2004,1.10643197257332
"CALFIN","BB",2005,0.114733391612951
"CALFIN","BB",2006,1.47675033805803
"CALFIN","BB",2007,0.71607438386735
"CALFIN","BB",2008,-0.0250211576152
"CALFIN","BB",2009,0.04413035504454
"CALFIN","BB",2010,0.525241026460564
"CALFIN","BB",2011,0.0133077490569816
"CALFIN","BB",2012,0.581759970531977
"CALFIN","BB",2013,1.19138409224485
"CALFIN","BB",2014,-0.764636503891854
"CALFIN","BB",2015,-0.984264934134174
"CALFIN","BB",2016,-0.75655990953575
"CALFIN","BB",2017,-1.01694722853086
"CALFIN","BB",2018,-0.679833113252882
"CALFIN","BB",2019,-0.584344064326378
"CALFIN","FC",1999,-1.41526374689926
"CALFIN","FC",2000,-1.61908904965952
"CALFIN","FC",2001,0.675818949895406
"CALFIN","FC",2002,0.77081870903535
"CALFIN","FC",2003,-0.264005068710539
"CALFIN","FC",2004,-0.520729184060494
"CALFIN","FC",2005,0.50557545580502
"CALFIN","FC",2006,1.25299604327174
"CALFIN","FC",2007,-0.603926270093928
"CALFIN","FC",2008,-0.186906030842083
"CALFIN","FC",2009,-0.449979945000687
"CALFIN","FC",2010,1.25857966726473
"CALFIN","FC",2011,1.19788435799548
"CALFIN","FC",2012,1.58813097445948
"CALFIN","FC",2013,-0.211177088475719
"CALFIN","FC",2014,-1.06902953165805
"CALFIN","FC",2015,-0.909698242326911
"CALFIN","FC",2016,0.38662622014818
"CALFIN","FC",2017,0.0769340361587222
"CALFIN","FC",2018,-0.167942235535821
"CALFIN","FC",2019,0.189028048057128
"CALFIN","SEGB",1999,-2.42291124009735
"CALFIN","SEGB",2000,0.135692371352386
"CALFIN","SEGB",2001,-0.118015956444094
"CALFIN","SEGB",2002,0.836878589098033
"CALFIN","SEGB",2003,0.507393211536111
"CALFIN","SEGB",2004,-0.480896455518585
"CALFIN","SEGB",2005,1.0805489752069
"CALFIN","SEGB",2006,-0.457290972688048
"CALFIN","SEGB",2007,-0.0812261074923394
"CALFIN","SEGB",2008,-0.479895554714012
"CALFIN","SEGB",2009,0.760770113937767
"CALFIN","SEGB",2010,1.05903845838818
"CALFIN","SEGB",2011,1.54774590427155
"CALFIN","SEGB",2012,0.311511306729229
"CALFIN","SEGB",2013,0.237686307333699
"CALFIN","SEGB",2014,-1.02416014556288
"CALFIN","SEGB",2015,-1.41286880533653
"CALFIN","SEGB",2016,-1.20078866340143
"CALFIN","SEGB",2017,1.01985193066245
"CALFIN","SEGB",2018,0.197850835391127
"CALFIN","S27",1999,1.21560565888281
"CALFIN","S27",2000,0.715045596220276
"CALFIN","S27",2001,0.47101752920196
"CALFIN","S27",2002,0.752396537047031
"CALFIN","S27",2003,0.0662646617001551
"CALFIN","S27",2004,-0.429200724888689
"CALFIN","S27",2005,0.0510906135285205
"CALFIN","S27",2006,-0.142374702456822
"CALFIN","S27",2007,0.0672098500373546
"CALFIN","S27",2008,-2.39161938171928
"CALFIN","S27",2009,0.483269515046109
"CALFIN","S27",2010,1.60052402196538
"CALFIN","S27",2011,0.307546015853233
"CALFIN","S27",2012,-0.381792191494235
"CALFIN","S27",2013,-1.58668256416031
"CALFIN","S27",2014,0.442107579153523
"CALFIN","S27",2015,-1.24040801391704
"CALFIN","S27",2016,-2.12183972053655
"CALFIN","S27",2017,-0.457954698160351
"CALFIN","S27",2018,-0.559360870445245
"CALFIN","S27",2019,-1.3988845412774
"PSEUSP","SI",1999,-1.57887019464446
"PSEUSP","SI",2000,-1.08562884753291
"PSEUSP","SI",2001,-0.962999256686187
"PSEUSP","SI",2002,-0.480335542867077
"PSEUSP","SI",2003,0.574499618171028
"PSEUSP","SI",2004,2.08298906756316
"PSEUSP","SI",2005,1.48987358085897
"PSEUSP","SI",2006,1.24946522597096
"PSEUSP","SI",2007,0.587543315171942
"PSEUSP","SI",2008,-0.745349540243396
"PSEUSP","SI",2009,-0.0286065387904554
"PSEUSP","SI",2010,-0.481599469750288
"PSEUSP","SI",2011,-0.51620967380308
"PSEUSP","SI",2012,-0.358867967867552
"PSEUSP","SI",2013,0.104800638084659
"PSEUSP","SI",2014,-0.690144117690766
"PSEUSP","SI",2015,0.839439704055443
"PSEUSP","SI",2016,0.554324401327633
"PSEUSP","SI",2017,0.0549007175551444
"PSEUSP","SI",2018,-0.930024945571172
"PSEUSP","SI",2019,0.208621449743544
"PSEUSP","BB",1999,-1.65470838332737
"PSEUSP","BB",2000,-1.29064968287047
"PSEUSP","BB",2001,-0.244257803261256
"PSEUSP","BB",2002,-0.709263466093471
"PSEUSP","BB",2003,1.00708425353745
"PSEUSP","BB",2004,-0.305530273261416
"PSEUSP","BB",2005,-0.255861416471558
"PSEUSP","BB",2006,0.752649280219646
"PSEUSP","BB",2007,-1.01368665196495
"PSEUSP","BB",2008,-0.517462512244351
"PSEUSP","BB",2009,0.799243627176515
"PSEUSP","BB",2010,1.55456336903582
"PSEUSP","BB",2011,-0.770757441282569
"PSEUSP","BB",2012,-0.650176230927035
"PSEUSP","BB",2013,1.37520431640148
"PSEUSP","BB",2014,0.657642580244545
"PSEUSP","BB",2015,1.26596643508899
"PSEUSP","BB",2016,-0.0974019671542
"PSEUSP","BB",2017,0.599022630247077
"PSEUSP","BB",2018,-0.402241169695733
"PSEUSP","BB",2019,0.283982268409375
"PSEUSP","FC",1999,-2.62350364646738
"PSEUSP","FC",2000,-0.161672965056252
"PSEUSP","FC",2001,0.346128078695357
"PSEUSP","FC",2002,0.35546604659882
"PSEUSP","FC",2003,-1.6441837627091
"PSEUSP","FC",2004,-0.452728489982804
"PSEUSP","FC",2005,-0.468084814346567
"PSEUSP","FC",2006,0.628297457904061
"PSEUSP","FC",2007,0.05161711569344
"PSEUSP","FC",2008,-0.0231873519420985
"PSEUSP","FC",2009,0.219170384429796
"PSEUSP","FC",2010,0.737291725897363
"PSEUSP","FC",2011,-0.539806349777318
"PSEUSP","FC",2012,0.312605772738441
"PSEUSP","FC",2013,0.597484455537991
"PSEUSP","FC",2014,0.86863953861306
"PSEUSP","FC",2015,1.7964668041732
"PSEUSP","FC",2016,1.5672132156704
"PSEUSP","FC",2017,0.611033404707291
"PSEUSP","FC",2018,0.463833714470453
"PSEUSP","FC",2019,-0.132005870856535
"PSEUSP","SEGB",1999,-3.16375700797943
"PSEUSP","SEGB",2000,0.420858507532816
"PSEUSP","SEGB",2001,-0.540293392336682
"PSEUSP","SEGB",2002,-0.117195186305017
"PSEUSP","SEGB",2003,-0.634852628334882
"PSEUSP","SEGB",2004,-0.0126260327151678
"PSEUSP","SEGB",2005,0.134749854386089
"PSEUSP","SEGB",2006,-0.806284528725386
"PSEUSP","SEGB",2007,-0.11411052120748
"PSEUSP","SEGB",2008,-0.165247158052986
"PSEUSP","SEGB",2009,0.509674032681414
"PSEUSP","SEGB",2010,0.595445119162536
"PSEUSP","SEGB",2011,1.20754379647597
"PSEUSP","SEGB",2012,0.225279928406716
"PSEUSP","SEGB",2013,0.41028760715142
"PSEUSP","SEGB",2014,0.992192379750741
"PSEUSP","SEGB",2015,1.05833523010936
"PSEUSP","SEGB",2016,1.86468740901889
"PSEUSP","SEGB",2017,1.29900031096511
"PSEUSP","SEGB",2018,2.05399431143851
"PSEUSP","S27",1999,-1.23801773877913
"PSEUSP","S27",2000,0.498984125983479
"PSEUSP","S27",2001,-0.0752693647196625
"PSEUSP","S27",2002,0.148152157591795
"PSEUSP","S27",2003,-0.205067216702069
"PSEUSP","S27",2004,-1.5385568650384
"PSEUSP","S27",2005,-0.750382202915394
"PSEUSP","S27",2006,-1.04794684644377
"PSEUSP","S27",2007,0.135770582503608
"PSEUSP","S27",2008,-1.25420681187122
"PSEUSP","S27",2009,1.45663795844098
"PSEUSP","S27",2010,0.498894916463411
"PSEUSP","S27",2011,-0.241503870433129
"PSEUSP","S27",2012,-0.244311144937111
"PSEUSP","S27",2013,0.4368691588719
"PSEUSP","S27",2014,1.73417738655372
"PSEUSP","S27",2015,1.68577577543098
"PSEUSP","S27",2016,1.23480335014666
"PSEUSP","S27",2017,0.934364104835305
"PSEUSP","S27",2018,0.821524956394308
"PSEUSP","S27",2019,0.566779852901683
"zp_biomass","S27",1998,-0.631738732137038
"zp_biomass","S27",1999,-0.0175633064652426
"zp_biomass","S27",2000,1.00218348507793
"zp_biomass","S27",2001,1.41620550949373
"zp_biomass","S27",2002,1.59792419054892
"zp_biomass","S27",2003,-0.0964354594271921
"zp_biomass","S27",2004,1.29913760165107
