                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Region                    ,  Year, (Day of Year),  (mg/m^3),    (# days), (Area under Gaussian)
Avalon_Channel            ,  1998,        88.3,       1.055,        36.5,       26.89
Avalon_Channel            ,  1999,        81.7,       1.568,        36.3,       39.70
Avalon_Channel            ,  2000,        84.6,       1.493,        36.1,       37.60
Avalon_Channel            ,  2001,        98.3,       1.220,        46.9,       39.97
Avalon_Channel            ,  2002,        86.8,       1.253,        58.3,       51.01
Avalon_Channel            ,  2003,       113.5,       2.293,        20.6,       32.93
Avalon_Channel            ,  2004,        87.7,       1.507,        45.7,       48.10
Avalon_Channel            ,  2005,        79.3,       0.844,        45.1,       26.56
Avalon_Channel            ,  2006,       106.4,       3.809,        16.8,       44.68
Avalon_Channel            ,  2007,        96.7,       2.298,        28.9,       46.37
Bay_of_Fundy              ,  1998,        95.1,       1.767,        65.7,       81.07
Bay_of_Fundy              ,  1999,       122.6,       1.662,        35.8,       41.49
Bay_of_Fundy              ,  2000,       150.1,       2.601,        13.7,       24.97
Bay_of_Fundy              ,  2001,       106.3,       2.249,        42.6,       66.92
Bay_of_Fundy              ,  2002,            ,            ,            ,            
Bay_of_Fundy              ,  2003,            ,            ,            ,            
Bay_of_Fundy              ,  2004,            ,            ,            ,            
Bay_of_Fundy              ,  2005,            ,            ,            ,            
Bay_of_Fundy              ,  2006,            ,            ,            ,            
Bay_of_Fundy              ,  2007,            ,            ,            ,            
Bras_dOr                  ,  1998,            ,            ,            ,            
Bras_dOr                  ,  1999,            ,            ,            ,            
Bras_dOr                  ,  2000,            ,            ,            ,            
Bras_dOr                  ,  2001,            ,            ,            ,            
Bras_dOr                  ,  2002,            ,            ,            ,            
Bras_dOr                  ,  2003,            ,            ,            ,            
Bras_dOr                  ,  2004,            ,            ,            ,            
Bras_dOr                  ,  2005,            ,            ,            ,            
Bras_dOr                  ,  2006,            ,            ,            ,            
Bras_dOr                  ,  2007,            ,            ,            ,            
Bravo                     ,  1998,            ,            ,            ,            
Bravo                     ,  1999,            ,            ,            ,            
Bravo                     ,  2000,       157.0,       1.142,        47.4,       37.80
Bravo                     ,  2001,       104.2,       1.030,       169.4,      121.78
Bravo                     ,  2002,       152.6,       1.864,        43.0,       55.92
Bravo                     ,  2003,       109.2,       1.525,       122.7,      130.66
Bravo                     ,  2004,       172.3,       1.077,        33.5,       25.22
Bravo                     ,  2005,       110.7,       1.360,       150.8,      143.17
Bravo                     ,  2006,            ,            ,            ,            
Bravo                     ,  2007,       158.2,       1.670,        19.7,       23.02
Cabot_Strait              ,  1998,        90.7,      10.092,        17.9,      125.98
Cabot_Strait              ,  1999,        78.7,       5.512,        12.6,       48.36
Cabot_Strait              ,  2000,        83.9,       2.054,        32.7,       46.85
Cabot_Strait              ,  2001,       103.8,       1.601,        35.5,       39.73
Cabot_Strait              ,  2002,        96.3,       7.454,        13.5,       70.44
Cabot_Strait              ,  2003,       103.2,       5.407,        22.6,       85.25
Cabot_Strait              ,  2004,       108.0,       3.263,        19.8,       45.15
Cabot_Strait              ,  2005,        88.4,       0.477,        31.6,       10.54
Cabot_Strait              ,  2006,        82.1,       5.980,        36.6,      152.90
Cabot_Strait              ,  2007,        92.8,       3.139,        40.4,       88.59
Central_Scotian_Shelf     ,  1998,        43.8,       0.777,        74.2,       40.24
Central_Scotian_Shelf     ,  1999,        45.6,       1.707,        52.5,       62.55
Central_Scotian_Shelf     ,  2000,        93.6,       2.109,        23.0,       33.83
Central_Scotian_Shelf     ,  2001,        70.8,       1.042,        63.0,       45.80
Central_Scotian_Shelf     ,  2002,        71.6,       2.070,        35.9,       51.88
Central_Scotian_Shelf     ,  2003,        84.9,       3.998,        20.7,       57.72
Central_Scotian_Shelf     ,  2004,        74.3,       1.604,        41.5,       46.49
Central_Scotian_Shelf     ,  2005,        75.8,       1.558,        25.5,       27.76
Central_Scotian_Shelf     ,  2006,        69.2,       1.867,        37.7,       49.08
Central_Scotian_Shelf     ,  2007,        72.1,       2.173,        38.6,       58.56
Eastern_Scotian_Shelf     ,  1998,        96.0,       6.483,        12.9,       58.50
Eastern_Scotian_Shelf     ,  1999,        69.1,       2.302,        26.0,       41.71
Eastern_Scotian_Shelf     ,  2000,        94.6,       3.071,        24.2,       51.89
Eastern_Scotian_Shelf     ,  2001,       103.2,       2.440,        18.6,       31.62
Eastern_Scotian_Shelf     ,  2002,        92.9,       5.647,        19.6,       77.28
Eastern_Scotian_Shelf     ,  2003,        98.9,       4.011,        19.8,       55.40
Eastern_Scotian_Shelf     ,  2004,        95.9,       3.458,        25.9,       62.49
Eastern_Scotian_Shelf     ,  2005,        80.1,       1.760,        25.6,       31.46
Eastern_Scotian_Shelf     ,  2006,        80.3,       2.827,        32.2,       63.49
Eastern_Scotian_Shelf     ,  2007,        86.2,       4.008,        42.2,      118.15
Estuary                   ,  1998,       109.0,       8.600,        85.0,      510.25
Estuary                   ,  1999,       106.3,      11.811,        73.5,      606.31
Estuary                   ,  2000,            ,            ,            ,            
Estuary                   ,  2001,       106.1,       8.532,        87.9,      523.75
Estuary                   ,  2002,       126.9,       9.259,        94.8,      612.94
Estuary                   ,  2003,       108.0,      10.861,        90.1,      683.34
Estuary                   ,  2004,       124.1,       9.686,       108.8,      736.15
Estuary                   ,  2005,       123.5,       7.211,       125.7,      632.96
Estuary                   ,  2006,        90.1,       7.082,       152.3,      753.20
Estuary                   ,  2007,        96.7,       8.456,       148.3,      875.81
Flemish_Pass              ,  1998,       115.2,       1.878,        19.9,       26.08
Flemish_Pass              ,  1999,        93.8,       4.006,        16.1,       45.09
Flemish_Pass              ,  2000,        95.8,       1.591,        63.0,       69.95
Flemish_Pass              ,  2001,       123.9,       1.481,        35.4,       36.57
Flemish_Pass              ,  2002,       125.9,       3.283,        39.8,       91.27
Flemish_Pass              ,  2003,       134.4,       3.092,        43.8,       94.64
Flemish_Pass              ,  2004,        80.6,       1.206,        93.4,       78.67
Flemish_Pass              ,  2005,        94.9,       4.364,        40.7,      123.93
Flemish_Pass              ,  2006,        86.7,       2.382,        40.1,       66.74
Flemish_Pass              ,  2007,        99.4,       1.582,        51.3,       56.65
Georges_Bank              ,  1998,        83.6,       0.903,        21.2,       13.35
Georges_Bank              ,  1999,        56.4,       1.452,        46.7,       47.36
Georges_Bank              ,  2000,        65.8,       2.355,        40.3,       66.28
Georges_Bank              ,  2001,       103.4,       3.343,        21.5,       50.20
Georges_Bank              ,  2002,        91.1,       2.884,        19.6,       39.55
Georges_Bank              ,  2003,        84.3,       3.935,        51.7,      142.03
Georges_Bank              ,  2004,        83.0,       4.551,        38.5,      122.28
Georges_Bank              ,  2005,        99.8,       2.953,        14.5,       29.98
Georges_Bank              ,  2006,        84.1,       4.059,        18.8,       53.32
Georges_Bank              ,  2007,            ,            ,            ,            
Green-St._Pierre_Bank     ,  1998,       109.7,       4.607,        21.3,       68.36
Green-St._Pierre_Bank     ,  1999,       107.8,       1.667,        26.3,       30.62
Green-St._Pierre_Bank     ,  2000,        99.3,       0.957,        20.9,       13.99
Green-St._Pierre_Bank     ,  2001,        95.4,       2.075,        39.8,       57.69
Green-St._Pierre_Bank     ,  2002,        93.4,       1.078,        46.8,       35.26
Green-St._Pierre_Bank     ,  2003,       114.1,       1.525,        18.7,       19.95
Green-St._Pierre_Bank     ,  2004,        97.3,       2.114,        32.8,       48.37
Green-St._Pierre_Bank     ,  2005,        91.0,       1.199,        28.7,       24.04
Green-St._Pierre_Bank     ,  2006,       108.5,       9.511,        15.5,      103.23
Green-St._Pierre_Bank     ,  2007,        97.3,       1.611,        31.7,       35.65
Hamilton_Bank             ,  1998,       107.2,       1.188,        60.1,       49.90
Hamilton_Bank             ,  1999,       132.7,       1.968,        41.0,       56.38
Hamilton_Bank             ,  2000,       151.9,       0.603,        41.3,       17.39
Hamilton_Bank             ,  2001,       108.6,       1.411,        94.9,       93.48
Hamilton_Bank             ,  2002,       159.4,       1.275,        54.8,       48.79
Hamilton_Bank             ,  2003,       136.7,       3.128,        30.0,       65.47
Hamilton_Bank             ,  2004,       146.7,       1.697,        20.9,       24.80
Hamilton_Bank             ,  2005,       123.1,       2.218,        17.9,       27.80
Hamilton_Bank             ,  2006,       104.2,       2.404,        41.9,       70.39
Hamilton_Bank             ,  2007,       127.3,       1.083,        70.6,       53.40
Hibernia                  ,  1998,       109.9,       2.744,        21.4,       41.07
Hibernia                  ,  1999,            ,            ,            ,            
Hibernia                  ,  2000,        72.9,       1.194,        54.9,       45.80
Hibernia                  ,  2001,       102.2,       2.567,        25.2,       45.10
Hibernia                  ,  2002,        87.8,       2.104,        69.0,      101.40
Hibernia                  ,  2003,        57.1,       0.642,        99.3,       44.50
Hibernia                  ,  2004,        78.6,       3.442,        55.4,      133.05
Hibernia                  ,  2005,        94.7,       1.806,        31.2,       39.33
Hibernia                  ,  2006,        84.8,       5.158,        42.8,      154.24
Hibernia                  ,  2007,        83.8,       3.140,        46.7,      102.47
Hudson_Strait             ,  1998,       178.3,       1.291,        16.3,       14.69
Hudson_Strait             ,  1999,       150.9,       1.498,       104.2,      109.04
Hudson_Strait             ,  2000,       142.6,       1.599,       119.1,      132.97
Hudson_Strait             ,  2001,       162.4,       1.701,        60.2,       71.45
Hudson_Strait             ,  2002,       186.4,       1.254,        36.8,       32.18
Hudson_Strait             ,  2003,       140.6,       1.213,       111.4,       94.33
Hudson_Strait             ,  2004,            ,            ,            ,            
Hudson_Strait             ,  2005,            ,            ,            ,            
Hudson_Strait             ,  2006,       120.1,       1.378,       143.6,      138.18
Hudson_Strait             ,  2007,       131.3,       1.480,       142.9,      147.69
Lurcher_Shoal             ,  1998,            ,            ,            ,            
Lurcher_Shoal             ,  1999,            ,            ,            ,            
Lurcher_Shoal             ,  2000,            ,            ,            ,            
Lurcher_Shoal             ,  2001,       100.5,       3.809,        20.3,       53.94
Lurcher_Shoal             ,  2002,        94.8,       1.171,        13.9,       11.33
Lurcher_Shoal             ,  2003,        94.8,       1.603,        24.3,       27.20
Lurcher_Shoal             ,  2004,       104.2,       1.058,        22.2,       16.36
Lurcher_Shoal             ,  2005,       102.0,       1.256,        12.6,       11.02
Lurcher_Shoal             ,  2006,        89.9,       2.130,        19.1,       28.46
Lurcher_Shoal             ,  2007,        91.8,       1.017,        22.5,       15.96
Magdalen_Shallows         ,  1998,        92.6,       2.517,        35.4,       62.20
Magdalen_Shallows         ,  1999,        76.9,       1.427,        30.0,       29.90
Magdalen_Shallows         ,  2000,        77.3,       1.715,        70.1,       83.96
Magdalen_Shallows         ,  2001,        92.3,       2.220,        40.1,       62.11
Magdalen_Shallows         ,  2002,        94.3,       7.259,        16.6,       84.25
Magdalen_Shallows         ,  2003,        92.8,       3.215,        34.7,       77.84
Magdalen_Shallows         ,  2004,       102.1,       2.919,        17.2,       35.12
Magdalen_Shallows         ,  2005,            ,            ,            ,            
Magdalen_Shallows         ,  2006,       102.3,       3.142,        21.9,       48.12
Magdalen_Shallows         ,  2007,        77.0,       3.600,        58.0,      145.73
Northeast_GSL             ,  1998,        92.7,       2.443,        27.6,       47.15
Northeast_GSL             ,  1999,       101.7,       1.542,        20.9,       22.45
Northeast_GSL             ,  2000,       118.4,       1.412,        16.8,       16.57
Northeast_GSL             ,  2001,       102.5,       3.235,        17.0,       38.36
Northeast_GSL             ,  2002,        89.4,       0.703,        69.0,       33.87
Northeast_GSL             ,  2003,       112.6,       0.646,        83.7,       37.72
Northeast_GSL             ,  2004,        87.7,       1.831,        43.4,       55.48
Northeast_GSL             ,  2005,        92.3,       0.562,        32.8,       12.87
Northeast_GSL             ,  2006,        94.8,       1.916,        26.8,       35.87
Northeast_GSL             ,  2007,       103.9,       2.317,        23.5,       38.04
Northeast_Nfld_Shelf      ,  1998,       102.8,       2.236,        30.4,       47.53
Northeast_Nfld_Shelf      ,  1999,        81.7,       2.084,        59.6,       86.78
Northeast_Nfld_Shelf      ,  2000,        92.2,       2.125,        56.5,       83.77
Northeast_Nfld_Shelf      ,  2001,       106.1,       0.712,        62.9,       31.26
Northeast_Nfld_Shelf      ,  2002,       112.2,       2.075,        44.4,       64.34
Northeast_Nfld_Shelf      ,  2003,       114.8,       2.265,        36.9,       58.31
Northeast_Nfld_Shelf      ,  2004,       117.0,       1.392,        32.5,       31.58
Northeast_Nfld_Shelf      ,  2005,        99.4,       2.836,        26.9,       53.24
Northeast_Nfld_Shelf      ,  2006,        87.5,       3.466,        42.1,      101.82
Northeast_Nfld_Shelf      ,  2007,        99.2,       1.380,        60.2,       57.96
Northern_Labrador_Shelf   ,  1998,       134.2,       0.804,        50.2,       28.19
Northern_Labrador_Shelf   ,  1999,       143.8,       1.668,        44.7,       52.06
Northern_Labrador_Shelf   ,  2000,       154.8,       0.743,        39.3,       20.40
Northern_Labrador_Shelf   ,  2001,            ,            ,            ,            
Northern_Labrador_Shelf   ,  2002,       159.9,       0.728,        60.2,       30.57
Northern_Labrador_Shelf   ,  2003,       140.2,       2.541,        23.6,       41.79
Northern_Labrador_Shelf   ,  2004,       136.8,       1.275,        38.9,       34.61
Northern_Labrador_Shelf   ,  2005,       140.8,       1.792,        28.9,       36.21
Northern_Labrador_Shelf   ,  2006,       114.0,       1.099,        73.6,       56.48
Northern_Labrador_Shelf   ,  2007,       154.8,       1.373,        37.6,       36.06
Northwest_GSL             ,  1998,        99.8,       7.357,        38.7,      198.97
Northwest_GSL             ,  1999,       117.9,       5.417,        35.8,      135.38
Northwest_GSL             ,  2000,       119.7,       3.850,        46.7,      125.46
Northwest_GSL             ,  2001,       106.1,       6.151,        43.6,      187.33
Northwest_GSL             ,  2002,       124.5,       8.341,        15.4,       89.90
Northwest_GSL             ,  2003,       110.8,       4.392,        61.3,      187.94
Northwest_GSL             ,  2004,       119.5,       5.794,        45.6,      184.46
Northwest_GSL             ,  2005,       100.0,      10.501,        12.6,       92.13
Northwest_GSL             ,  2006,       102.5,       7.756,        23.2,      125.39
Northwest_GSL             ,  2007,       112.1,       5.070,        36.8,      130.13
Southeast_Shoal           ,  1998,        72.0,       1.765,        64.3,       79.18
Southeast_Shoal           ,  1999,        74.4,       4.594,        42.6,      136.68
Southeast_Shoal           ,  2000,        79.7,       2.303,        16.9,       27.19
Southeast_Shoal           ,  2001,        94.3,       3.687,        29.1,       74.85
Southeast_Shoal           ,  2002,        93.5,       5.721,        31.9,      127.48
Southeast_Shoal           ,  2003,       103.3,       2.545,        31.1,       55.19
Southeast_Shoal           ,  2004,        95.4,       2.365,        36.4,       60.12
Southeast_Shoal           ,  2005,        78.2,       1.304,        45.1,       41.03
Southeast_Shoal           ,  2006,        93.7,      12.792,        13.9,      124.41
Southeast_Shoal           ,  2007,        86.2,       2.690,        41.9,       78.77
St.Anthony_Basin          ,  1998,       123.9,       2.990,        17.3,       36.13
St.Anthony_Basin          ,  1999,        97.3,       0.908,        66.8,       42.39
St.Anthony_Basin          ,  2000,       128.6,       1.175,        40.2,       32.97
St.Anthony_Basin          ,  2001,       128.1,       0.891,        26.6,       16.58
St.Anthony_Basin          ,  2002,       133.0,       2.505,        28.7,       50.24
St.Anthony_Basin          ,  2003,       133.3,       2.525,        26.1,       46.08
St.Anthony_Basin          ,  2004,       109.6,       1.961,        47.6,       65.12
St.Anthony_Basin          ,  2005,        99.7,       2.273,        32.9,       52.24
St.Anthony_Basin          ,  2006,        98.5,       3.620,        31.0,       78.30
St.Anthony_Basin          ,  2007,       123.8,       1.908,        43.7,       58.24
Western_Bank              ,  1998,        70.2,       1.503,        20.5,       21.51
Western_Bank              ,  1999,        40.7,       2.444,        24.1,       41.17
Western_Bank              ,  2000,        41.4,       0.615,        88.4,       37.99
Western_Bank              ,  2001,         7.4,       0.806,       118.5,       66.75
Western_Bank              ,  2002,        63.1,       1.675,        31.8,       37.19
Western_Bank              ,  2003,        70.2,       3.668,        19.1,       49.00
Western_Bank              ,  2004,        70.8,       3.306,        22.0,       50.88
Western_Bank              ,  2005,        60.0,       1.040,        34.8,       25.25
Western_Bank              ,  2006,        42.0,       0.947,        59.1,       39.04
Western_Bank              ,  2007,        64.2,       2.411,        43.1,       72.52
Western_Scotian_Shelf     ,  1998,        67.6,       1.050,        43.8,       32.13
Western_Scotian_Shelf     ,  1999,        64.8,       3.117,        24.4,       53.13
Western_Scotian_Shelf     ,  2000,       102.8,       1.444,        11.1,       11.15
Western_Scotian_Shelf     ,  2001,        91.2,       2.465,        31.1,       53.44
Western_Scotian_Shelf     ,  2002,        70.4,       2.215,        41.1,       63.63
Western_Scotian_Shelf     ,  2003,        96.6,       4.481,        16.8,       52.57
Western_Scotian_Shelf     ,  2004,        91.2,       3.729,        19.6,       50.94
Western_Scotian_Shelf     ,  2005,        87.4,       1.121,        17.2,       13.49
Western_Scotian_Shelf     ,  2006,        79.9,       3.600,        26.1,       65.60
Western_Scotian_Shelf     ,  2007,        86.0,       4.707,        20.4,       66.90
